"Date","Price","Open","High","Low","Vol.","Change %"
"03-11-2023","10.8825","11.0750","11.0750","10.6350","","-1.74%"
"02-11-2023","11.0750","12.0475","12.0475","10.9475","","-8.07%"
"01-11-2023","12.0475","11.8250","12.1950","11.8250","","1.88%"
"31-10-2023","11.8250","11.4900","12.2850","11.2625","","2.92%"
"30-10-2023","11.4900","10.9050","12.1925","10.9050","","5.36%"
"27-10-2023","10.9050","11.7300","12.3050","10.6725","","-7.03%"
"26-10-2023","11.7300","11.3125","12.7000","11.3125","","3.69%"
"25-10-2023","11.3125","10.9050","12.1775","9.9650","","3.74%"
"23-10-2023","10.9050","10.8175","11.3575","8.8250","","0.81%"
"20-10-2023","10.8175","10.8975","11.0900","10.0750","","-0.73%"
"19-10-2023","10.8975","10.9650","11.2125","10.0475","","-0.62%"
"18-10-2023","10.9650","10.6950","11.1700","10.4850","","2.52%"
"17-10-2023","10.6950","11.0700","11.0700","10.4275","","-3.39%"
"16-10-2023","11.0700","10.6175","11.1525","9.1525","","4.26%"
"13-10-2023","10.6175","10.6175","11.0250","10.4025","","0.00%"
"12-10-2023","10.6175","10.9850","11.1175","10.5650","","-3.35%"
"11-10-2023","10.9850","11.2700","11.3225","10.3900","","-2.53%"
"10-10-2023","11.2700","11.4000","11.4000","10.8550","","-1.14%"
"09-10-2023","11.4000","10.3000","11.6325","10.1200","","10.68%"
"06-10-2023","10.3000","10.9400","10.9400","9.7300","","-5.85%"
"05-10-2023","10.9400","11.6550","11.6550","10.8425","","-6.13%"
"04-10-2023","11.6550","11.7875","12.2200","11.1150","","-1.12%"
"03-10-2023","11.7875","11.4525","12.4075","10.7750","","2.93%"
"29-09-2023","11.4525","12.8225","12.8225","11.3075","","-10.68%"
"28-09-2023","12.8225","11.5850","13.0225","9.3975","","10.68%"
"27-09-2023","11.5850","11.1850","11.8225","9.3900","","3.58%"
"26-09-2023","11.1850","10.9000","11.2900","9.2475","","2.61%"
"25-09-2023","10.9000","10.6600","11.3050","10.2725","","2.25%"
"22-09-2023","10.6600","10.8175","11.0725","10.3925","","-1.46%"
"21-09-2023","10.8175","11.1275","11.3900","10.6200","","-2.79%"
